Numer przystanku;Numer linii;Numer pojazdu;Data;Godzina planowana;Godzina faktycznego przyjazdu;Godzina faktycznego  odjazdu
45;133;42;20.01.2021;08:31;08:37;08:38
35;194;332;24.12.2021;18:24;18:31;18:32
30;142;225;01.08.2021;182-218;16:52;16:55
15;88;321;24.07.2021;02:21;02:29;02:31
35;145;332;13.03.2021;17-08;17:06;206:159
104;102;201;09.08.2021;109:167;09:24;09:27
101;102;201;27.10.2021;07:46;07:51;07:53
73;57;321;06.06.2021;14:40;14:42;14:45
20;10;948;05.05.2021;04:15;04:16;196:210
64;10;948;16.06.2021;13:30;13:36;13:38
5;122;12;18.03.2021;16:03;16:08;16:11
15;57;56;11.01.2021;204:222;04:22;04:25
56;10;948;09.10.2021;07:26;07-36;07:39
35;145;332;30.04.2021;17:57;17:55;139:234
40;135;42;31.07.2021;18:26;18:29;18:30
96;22;1;21.07.2021;17:04;17:10;17:11
35;145;386;06.06.2021;17.38;17:37;17:38
5;102;654;17/12/2021;19:20;19'28;207:132
20;10;948;27.09.2021;07:22;118:136;152:124
15;132;321;31.03.2021;18:13;215:196;18:15
15;57;321;29.12.2021;192:193;15:03;15:04
37;110;84;19.09.2021;03:29;03:32;03:34
20;10;948;18.06.2021;186:157;09:13;09:15
40;147;896;17.08.2021;186:135;10:45;10:46
30;102;42;16.11.2021;00:10;00:13;129:176
45;102;42;09.06.2021;16:57;16:56;151:182
20;57;323;01.01.2021;06:02;06:02;06:04
45;147;2;04.04.2021;10:03;10:01;10:03
10;147;60;27.06.2021;00:03;00:09;00:12
5;102;75;03.09.2021;03:24;182:150;03:30
20;57;108;22.05.2021;02:51;02-48;02:51
30;142;192;27.03.2021;07:24;07:26;07:28
30;142;124;09.08.2021;06:45;06:42;166:160
45;102;201;13.03.2021;212:181;16:23;16:26
68;147;864;06.03.2021;12:51;12:50;12:51
80;57;56;22.08.2021;06:42;06:49;06:52
10;147;2;03.11.2021;01:56;01:53;122:183
25;10;1020;08.11.2021;04:16;04:21;04:23
20;86;948;29.07.2021;02:52;02:54;02'57
30;196;201;26.08.2021;10:45;144:207;10:52
35;155;234;03.12.2021;11:53;11:56;11:59
5;102;SB223kK;06.09.2021;19:50;19:57;19:58
Cz104fW;57;56;15.08.2021;195:160;02:43;02:45
30;102;238;01.09.2021;13:53;14:03;14:04
5;102;654;15.01.2021;111:191;10:01;10:03
51;110;753;31.01.2021;16:39;16:40;16:41
10;199;864;17.09.2021;14:51;14:56;14:59
15;8;1002;11.06.2021;09:07;09:14;149:153
5;102;53;04.01.2021;02:38;02:40;181:178
30;102;201;13.03.2021;121:196;07:52;07-55
25;57;43;10.03.2021;08'11;08:09;08:11
30;142;225;08.08.2021;197:155;19:24;19:27
30;189;201;19.04.2021;05:39;05:39;05:42
32;22;6532;26.03.2021;12:09;12:10;12:11
40;102;42;17.01.2021;19:17;19:25;186:162
25;57;321;03.01.2021;18:19;18:17;183:175
45;57;89;25.10.2021;18:40;213:226;18:47
35;146;332;06.07.2021;17:46;17:50;17:53
20;129;102;09.02.2021;07:32;07:39;07:42
41;142;532;29.06.2021;09:13;09:10;09:12
5;102;738;12.09.2021;14:30;14:37;14:38
Dq58po;142;532;12.02.2021;02:06;02:14;02:16
40;102;201;23.03.2021;04:29;199:214;04:30
35;156;332;15.04.2021;06:57;07:05;07:07
15;112;321;24.06.2021;01:12;01:09;01:11
40;169;42;29.06.2021;13:20;13:21;13:22
45;102;201;26.04.2021;117:187;13:41;13:43
20;57;359;30.12.2021;13:15;13:13;13:16
15;57;56;07.12.2021;186:226;01:00;01:01
20;10;948;27.01.2021;11:48;11:58;140:192
30;142;124;29.06.2021;08:36;162:216;08:48
45;57;163;18.11.2021;11:54;11:57;11:59
35;196;312;15.05.2021;09:28;09:26;09:28
15;57;321;15.11.2021;14:07;206:181;14:17
20;10;948;20.07.2021;184:156;14:24;14:26
20;57;321;12.05.2021;16:38;16:42;214:153
35;147;234;19.03.2021;02:11;02:13;105'169
90;102;75;06.06.2021;03:32;03:38;03:39
45;102;61;07.05.2021;07:16;07:19;07:21
30;242;225;24.04.2021;13:10;13:08;13:09
35;209;332;05.09.2021;10:32;10:37;10:40
5;168;42;04.10.2021;09.55;09:59;10:01
10;155;532;18.04.2021;05:27;05:25;05:28
5;102;654;06.02.2021;114:237;11:00;11:02
15;8;43;07.08.2021;00:28;164-163;00:33
31;102;654;26.02.2021;08:26;08:24;08:26
40;102;96;19.01.2021;05:25;05:31;05:34
10;147;2;10.08.2021;08:18;08:19;111:187
10;110;836;03.04.2021;161:172;02:09;02:10
15;57;321;25.02.2021;118:206;03:42;125:201
35;147;764;03.12.2021;18:13;18:23;195:128
5;102;53;20.03.2021;120:150;11:06;11:07
97;102;201;25.06.2021;19:28;19:36;149:169
35;145;388;21.01.2021;01:14;01:19;01:20
45;149;23;14.08.2021;09:37;09:38;09:41
30;142;532;28.12.2021;129:212;10:22;10:24
30;142;225;08.07.2021;151:215;09:22;09:23
26;57;32;25.04.2021;14:04;14:09;14:11
72;57;321;20.02.2021;18:43;18:47;18:48
53;93;948;16.08.2021;03:35;03.35;03:37
10;208;532;23.02.2021;14:12;14:09;14:11
143;57;23;06.02.2021;12:43;12:50;12:51
40;147;42;27.10.2021;07:15;176:138;07:26
35;145;386;30*03*2021;02:10;02:14;02:15
37;110;84;24.06.2021;06:46;06:46;06:47
30;167;96;10.09.2021;10:57;11:07;11:09
108;102;42;21.02.2021;11:05;11:14;11:17
30;102;42;21.06.2021;186:181;13:42;139:242
40;151;896;14.09.2021;14-04;198:141;14:02
40;103;42;01.09.2021;11:55;11:52;11.55
111;142;532;04.01.2021;15:01;15:11;15:13
12;110;753;29.11.2021;07:10;07:15;07:16
5;102;201;09*12*2021;15:43;15:50;143:167
30;151;201;13.12.2021;15:52;15:56;15:57
20;48;948;06.07.2021;08:55;09:05;09:07
25;22;89;04.10.2021;02:47;02:53;02:55
45;156;201;01.10.2021;202:189;07:46;07:47
40;102;134;20.09.2021;129:156;08:13;08:16
15;57;56;24.05.2021;17:14;17:12;161:177
5;102;75;06.06.2021;204:158;10:22;10-25
54;147;899;10.08.2021;08:44;08:51;08:54
107;102;201;10.05.2021;04:17;04:26;04:28
20;57;321;07.11.2021;02:49;177:173;02:52
45;57;23;14-08-2021;16:24;16:31;159:232
10;110;342;29.03.2021;02:37;02:41;126:163
20;57;321;27.03.2021;05:00;204:176;05:04
35;174;332;16.11.2021;02:41;02:41;02:43
20;10;948;07.01.2021;145:180;18:08;18:11
106;22;23;19.05.2021;01:01;01:03;01:06
45;102;130;23.07.2021;00:48;00:56;00:58
47;57;764;05.11.2021;07:25;07:28;07:31
35;145;332;09.08.2021;12:28;141:221;12:40
5;102;53;25.05.2021;144:193;18:22;217:152
25;10;948;20.08.2021;12:30;12'28;121:198
93;110;753;18.07.2021;13-37;13:45;13:47
94;102;42;25.04.2021;03:06;03:07;03:08
15;8;142;02.11.2021;13:12;13.16;13:17
20;10;948;22.09.2021;04:47;202:190;04:49
35;147;234;31.07.2021;13:06;13'08;190:153
103;147;532;15-03-2021;06:48;06:46;06:47
30;102;201;09.08.2021;04:17;04:17;132:208
40;147;864;06.12.2021;215:171;15:58;16:00
10;110;342;24.09.2021;18:37;129:220;18:44
25;10;948;30.09.2021;00:21;00:22;144:128
30;102;140;22.04.2021;17:32;17:32;17:35
40;147;864;17.04.2021;12:46;191:210;12:56
10;187;5;21.08.2021;05'08;05:18;05:20
40;147;42;21.05.2021;160:127;17:32;17:35
25;119;6;22.05.2021;12:45;12:44;12:46
15;8;1002;10.01.2021;120:138;06:10;06:12
25;57;321;12.05.2021;13:06;209:154;13:13
10;110;84;02.05.2021;08:11;08:08;188:141
45;103;321;20.04.2021;06:39;06:45;06:46
25;57;32;05.07.2021;00:11;158:120;00:22
25;10;948;04.04.2021;12:01;154:150;12:09
15;8;43;12.11.2021;02:36;147:227;02:47
15;57;56;16.03.2021;165:234;146:238;13:00
40;147;864;03.12.2021;18:50;205:192;141:170
35;145;332;14.01.2021;00:56;01:02;165:162
48;57;321;03.03.2021;19:53;19:50;19:53
45;147;42;30.04.2021;05:21;197:145;05:30
45;57;764;13.02.2021;02:15;145:169;02:17
25;142;321;15,11,2021;10:29;10:33;10:34
30;142;124;14.04.2021;06:09;06:19;137:163
30;142;225;27.09.2021;168:140;07:05;07:07
20;57;32;01.10.2021;15:14;15:18;184:185
45;102;201;19.05.2021;17:51;205:235;17:52
15;57;321;22.01.2021;134:116;07:09;07:12
45;57;89;01.02.2021;154:181;08:49;08:50
56;110;84;28.06.2021;13:07;13:11;13:14
30;205;225;23.01.2021;17:20;17:24;17:27
45;57;89;30.01.2021;120:210;17:28;17:31
58;10;948;30,03,2021;14:14;14:16;14:18
10;110;84;01.08.2021;12:23;199:172;12:27
94;10;948;16.02.2021;16:29;16:31;16:32
30;142;628;30.08.2021;03:06;03:16;03'17
10;147;5;11.06.2021;194:176;13:14;157:200
20;10;Vm990nL;05.12.2021;10:02;10:07;10:09
5;102;12;26.04.2021;00:36;00:46;165:153
15;8;1081;29.10.2021;05:32;05:33;174:188
83;145;332;10.03.2021;18:12;18:20;18-22
122;149;922;07.12.2021;16:06;16:11;16:12
15;57;56;07.09.2021;169:113;07-07;07:09
10;147;5;14.09.2021;09:50;134:206;09:52
45;102;201;27.05.2021;136:135;18:13;18:16
10;122;84;23.01.2021;05:40;05:47;05:48
71;147;42;11.02.2021;142:196;03:23;03:26
10;110;753;10.02.2021;138:158;13:35;13:38
30;102;46;15.01.2021;03:16;03:13;03:14
40;147;864;27.09.2021;10:56;139:119;11:09
38;22;23;16.09.2021;01:59;01:59;02:01
rN43ou;102;201;23.04.2021;04:45;04:55;04:58
99;147;42;07.09.2021;08:19;08:16;08:19
104;102;42;03.08.2021;08:57;09:00;09:02
30;102;201;12.07.2021;05:31;142:214;05:33
40;147;896;17.04.2021;04:23;152:151;192:140
45;57;334;04.08.2021;06:46;196:195;06:49
30;142;225;29.10.2021;07:50;07:59;142:118
110;10;948;29.11.2021;06:30;06:32;06:34
5;102;75;06.12.2021;09:10;133:189;09:14
45;57;764;06.03.2021;17:44;17.54;120:216
31;22;1;09.05.2021;08:46;08:51;08:52
10;110;342;31.01.2021;124:194;16:04;16:05
45;57;103;06.11.2021;08:16;08:24;08:25
5;102;654;12.11.2021;193:213;10:24;10:25
30;102;201;27.05.2021;09:08;09:17;153:201
25;22;101;03.04.2021;13:06;13-10;13:13
5;102;654;04.05.2021;13.33;200:184;13:35
40;102;88;24.10.2021;00:03;00'07;00:10
62;10;948;09.08.2021;01:36;01:41;01:43
112;8;1002;06.09.2021;19:24;19:32;19:33
35;168;332;21.02.2021;15.48;15:55;15:56
70;142;124;26.07.2021;15:36;15:38;15-40
20;10;950;07.08.2021;10:16;10:16;10:17
30;102;201;29.04.2021;139-139;09:47;09:48
45;102;102;29.07.2021;10:35;10:36;10:37
